"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.233,3.7305025942718,13,"BLCA"
"2",0.5,0.657,4.04773278021598,6,"BRCA_1"
"3",0.5,0.234,3.84743970695704,10,"BRCA_2"
"4",0.5,0.927,3.67029294239764,14,"COAD_READ"
"5",0.5,0.906,4.3912052568986,4,"HNSC"
"6",0.5,0.367,4.67281089824316,2,"KICH"
"7",0.5,0.876,4.47943210892937,3,"KIRC"
"8",0.5,0.93,4.67650901577178,1,"KIRP"
"9",0.5,0.938,3.85164106360578,9,"LIHC"
"10",0.5,0.924,3.83864640947917,11,"LUAD"
"11",0.5,0.964,4.37813896159242,5,"LUSC"
"12",0.5,0.612,4.036653077159,7,"PRAD"
"13",0.5,0.969,3.62408464397009,15,"STES"
"14",0.5,0.736,3.97813500580777,8,"THCA"
"15",0.5,0.212,3.83103470361562,12,"UCEC"
