"","likelihood","bart","expr","rank_size","cancer"
"2",0.284596549475112,0.641,2.16489206082266,1,"BRCA_1"
"13",0.0531046588498136,0.881,2.14112847192648,2,"STES"
"11",0.00432397023984871,0.769,2.0728125304255,3,"LUSC"
"3",0.00332965727730213,0.83,1.96485930737339,4,"BRCA_2"
"10",0.430210285226646,0.842,1.89667635635812,5,"LUAD"
"14",2.59130942220528e-05,0.622,1.83439194724861,6,"THCA"
"1",5.02088291243852e-17,0.586,1.83140626231627,7,"BLCA"
"5",6.41626988121455e-09,0.529,1.82649144791536,8,"HNSC"
"7",0.0328468385702853,0.486,1.71783156637456,9,"KIRC"
"12",0.0109232851089452,0.628,1.69131575965195,10,"PRAD"
"15",0.438278593700718,0.905,1.64713822752772,11,"UCEC"
"6",1.55448168202491e-05,0.386,1.58823998027762,12,"KICH"
"4",0.109137520569734,0.858,1.5256448858588,13,"COAD_READ"
"8",0.00509828810382767,0.811,1.462976514485,14,"KIRP"
"9",1.53348936237388e-22,0.529,1.09540254704713,15,"LIHC"
