"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.179,-1.70492561501118,5,"BLCA"
"2",0.5,0.799,-2.24194619590251,12,"BRCA_1"
"3",0.5,0.336,-2.10841549140535,10,"BRCA_2"
"4",0.5,0.948,-1.8292877814912,6,"COAD_READ"
"5",0.5,0.88,-1.98593294553781,9,"HNSC"
"6",0.5,0.309,-2.20105641185731,11,"KICH"
"7",0.5,0.896,-2.27907221470115,15,"KIRC"
"8",0.5,0.938,-2.24240017721016,13,"KIRP"
"9",0.5,0.873,-2.26961152400685,14,"LIHC"
"10",0.5,0.87,3.84325144645881,2,"LUAD"
"11",0.5,0.77,0.225939273097569,3,"LUSC"
"12",0.5,0.674,-1.50697209641018,4,"PRAD"
"13",0.5,0.932,-1.94114579969515,8,"STES"
"14",0.5,0.931,4.50077542094039,1,"THCA"
"15",0.5,0.496,-1.83087046954498,7,"UCEC"
