"","likelihood","bart","expr","rank_size","cancer"
"4",0.711416171915266,0.177,2.65307712810624,1,"COAD_READ"
"13",0.047109639780295,0.167,2.62920830826991,2,"STES"
"11",0.166897438028159,0.099,2.25981230370782,3,"LUSC"
"3",6.72317221515434e-05,0.83,2.21191527767099,4,"BRCA_2"
"5",0.0493073274658078,0.242,2.13420332831789,5,"HNSC"
"7",0.0608587672334548,0.438,2.13192929340986,6,"KIRC"
"15",0.000472018812043932,0.324,2.03788983818693,7,"UCEC"
"1",0.614583545774832,0.637,1.8775312213402,8,"BLCA"
"10",0.859934086789183,0.114,1.67321953841947,9,"LUAD"
"2",0.0012618434397866,0.196,1.51160444300424,10,"BRCA_1"
"12",0.0435559509502509,0.243,1.40650115395701,11,"PRAD"
"14",0.065157737387753,0.289,1.29910912778155,12,"THCA"
"8",0.0884396140246078,0.287,1.19634472642084,13,"KIRP"
"6",0.249376314237949,0.733,1.17425567457094,14,"KICH"
"9",0.0043603350606534,0.412,0.840337838479251,15,"LIHC"
