"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.719,0.774022834416544,10,"BLCA"
"2",0.5,0.243,1.07396486259545,6,"BRCA_1"
"3",0.5,0.613,1.14364496502193,3,"BRCA_2"
"4",0.5,0.231,0.818427458906512,9,"COAD_READ"
"5",0.5,0.093,0.749346631775191,11,"HNSC"
"6",0.5,0.706,0.889968111999576,8,"KICH"
"7",0.5,0.127,1.02080760367588,7,"KIRC"
"8",0.5,0.189,0.558487986779583,14,"KIRP"
"9",0.5,0.149,0.0752793334721046,15,"LIHC"
"10",0.5,0.26,1.07546219702297,5,"LUAD"
"11",0.5,0.309,1.16027030666251,2,"LUSC"
"12",0.5,0.171,0.745362536831094,12,"PRAD"
"13",0.5,0.18,1.35389725355742,1,"STES"
"14",0.5,0.148,1.09494292279585,4,"THCA"
"15",0.5,0.847,0.574519716889076,13,"UCEC"
