"","likelihood","bart","expr","rank_size","cancer"
"9",0.5,0.474,2.55609206956078,1,"LIHC"
"7",0.5,0.501,2.13070375795417,2,"KIRC"
"10",0.5,0.943,1.89956748152199,3,"LUAD"
"8",0.5,0.895,1.86219390929366,4,"KIRP"
"4",0.5,0.913,1.85452278411447,5,"COAD_READ"
"3",0.5,0.401,1.80748535993483,6,"BRCA_2"
"1",0.5,0.222,1.76446220433745,7,"BLCA"
"2",0.5,0.791,1.61936910671091,8,"BRCA_1"
"15",0.5,0.905,1.59654522478159,9,"UCEC"
"13",0.5,0.836,1.56908925763437,10,"STES"
"6",0.5,0.607,1.54063709431477,11,"KICH"
"11",0.5,0.897,1.52348337953726,12,"LUSC"
"12",0.5,0.632,1.39872631311808,13,"PRAD"
"14",0.5,0.921,1.1888937523368,14,"THCA"
"5",0.5,0.474,0.764536230334875,15,"HNSC"
