"","likelihood","bart","expr","rank_size","cancer"
"15",0.5,0.569,4.05354557590789,1,"UCEC"
"1",0.5,0.396,3.73921715598559,2,"BLCA"
"9",0.5,0.628,3.51893619104014,3,"LIHC"
"13",0.5,0.892,3.45271795976083,4,"STES"
"4",0.5,0.834,3.41536061511959,5,"COAD_READ"
"6",0.5,0.241,3.24287943821999,6,"KICH"
"2",0.5,0.601,3.20698767138307,7,"BRCA_1"
"3",0.5,0.146,3.10464765011359,8,"BRCA_2"
"12",0.5,0.775,3.08523168799258,9,"PRAD"
"10",0.5,0.752,3.07669938621412,10,"LUAD"
"14",0.5,0.697,2.99947399112675,11,"THCA"
"8",0.5,0.662,2.81033475352079,12,"KIRP"
"11",0.5,0.308,2.64665291907546,13,"LUSC"
"5",0.5,0.43,2.57400351223865,14,"HNSC"
"7",0.5,0.821,2.34161614348467,15,"KIRC"
