"","likelihood","bart","expr","rank_size","cancer"
"12",0.985177423780526,0.43,3.52927879538221,1,"PRAD"
"6",0.0318172886630963,0.44,3.3617816106179,2,"KICH"
"7",0.796060084745292,0.896,2.54763650958985,3,"KIRC"
"14",0.726222724916914,0.573,2.45811635524117,4,"THCA"
"13",0.138313553770469,0.516,2.43448120554613,5,"STES"
"4",0.854599777492382,0.448,2.35609124882032,6,"COAD_READ"
"10",0.489216045886493,0.386,2.34959529263933,7,"LUAD"
"1",0.923353179913461,0.449,1.79367157821042,8,"BLCA"
"11",0.426926971587215,0.233,1.78818868203126,9,"LUSC"
"2",0.502652066008592,0.442,1.68498995934175,10,"BRCA_1"
"15",0.735402304673629,0.419,1.68147774892258,11,"UCEC"
"3",0.158143989282293,0.35,1.59120174226123,12,"BRCA_2"
"5",0.108194334646632,0.59,1.35520396396516,13,"HNSC"
"8",0.389341521213368,0.832,1.0154737350662,14,"KIRP"
"9",0.0792399040999451,0.58,0.667348939825616,15,"LIHC"
