"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.591,1.49884069949756,9,"BLCA"
"2",0.5,0.352,1.63307355364132,4,"BRCA_1"
"3",0.5,0.303,1.58796847410228,6,"BRCA_2"
"4",0.5,0.341,1.81004717288424,1,"COAD_READ"
"5",0.5,0.328,1.2715344226243,12,"HNSC"
"6",0.5,0.438,0.711854786868398,15,"KICH"
"7",0.5,0.441,1.42020353682396,10,"KIRC"
"8",0.5,0.281,1.17123252962234,13,"KIRP"
"9",0.5,0.364,0.718081354218258,14,"LIHC"
"10",0.5,0.304,1.59269980970437,5,"LUAD"
"11",0.5,0.289,1.76650121429131,2,"LUSC"
"12",0.5,0.268,1.51924464658219,8,"PRAD"
"13",0.5,0.29,1.70476990588904,3,"STES"
"14",0.5,0.291,1.32901029182554,11,"THCA"
"15",0.5,0.488,1.52294941420991,7,"UCEC"
