"","likelihood","bart","expr","rank_size","cancer"
"11",0.533762185209042,0.559,-1.64118510029664,1,"LUSC"
"5",1.24480157064355e-07,0.582,-1.66756899581706,2,"HNSC"
"3",0.000250331286364537,0.156,-1.78222536888733,3,"BRCA_2"
"2",1.79405792378993e-06,0.36,-1.94365169718151,4,"BRCA_1"
"1",0.14229210279474,0.147,-1.99789928521302,5,"BLCA"
"12",0.000598479032612293,0.608,-2.123875887771,6,"PRAD"
"13",0.70337810406727,0.751,-2.15263221356825,7,"STES"
"4",0.629848086210698,0.376,-2.16788150299517,8,"COAD_READ"
"10",0.189395216993339,0.499,-2.19781967171326,9,"LUAD"
"15",0.0311474313068084,0.146,-2.20901139048012,10,"UCEC"
"6",0.0130984775687164,0.389,-2.23510390733341,11,"KICH"
"8",0.793407504012792,0.419,-2.23541188340002,12,"KIRP"
"9",0.0116039733599996,0.681,-2.24396011674678,13,"LIHC"
"7",0.977429353770688,0.706,-2.26599301715722,14,"KIRC"
"14",0.0300716016276223,0.699,-2.27231233698192,15,"THCA"
