"","likelihood","bart","expr","rank_size","cancer"
"14",0.00121610590018558,0.64,3.0738822178818,1,"THCA"
"12",7.69502959157061e-34,0.326,2.63521699974757,2,"PRAD"
"6",7.74416101288981e-10,0.318,1.87171193534166,3,"KICH"
"2",4.13918905302089e-15,0.246,1.75576736931188,4,"BRCA_1"
"10",4.23203055355929e-10,0.412,1.7294363159245,5,"LUAD"
"13",4.40064727605698e-07,0.637,1.58213681636739,6,"STES"
"3",1.56562236145794e-09,0.346,1.48463275585648,7,"BRCA_2"
"11",1.15837692574857e-07,0.351,1.3520450775168,8,"LUSC"
"1",1.20770251855649e-13,0.195,1.32251354023387,9,"BLCA"
"9",1.87054984868095e-09,0.355,1.30862866839848,10,"LIHC"
"5",2.53008413292527e-10,0.735,1.20320484138767,11,"HNSC"
"7",0.00143385034128673,0.609,1.16845796051684,12,"KIRC"
"8",3.9661485629613e-11,0.616,0.943323796902653,13,"KIRP"
"4",4.38299834530921e-20,0.521,0.89109848785648,14,"COAD_READ"
"15",2.88811360404851e-09,0.21,-0.041293032998023,15,"UCEC"
