"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.094,-1.90605946379649,11,"BLCA"
"2",0.5,0.199,1.45103424968486,2,"BRCA_1"
"3",0.5,0.075,-1.410191444051,9,"BRCA_2"
"4",0.5,0.212,-1.94282625255993,12,"COAD_READ"
"5",0.5,0.694,-1.94980983727829,14,"HNSC"
"6",0.5,0.179,-0.0523522111308125,3,"KICH"
"7",0.5,0.69,-1.09130765888961,6,"KIRC"
"8",0.5,0.294,-1.94764690715911,13,"KIRP"
"9",0.5,0.248,-2.01085824805378,15,"LIHC"
"10",0.5,0.322,-1.40597660279381,8,"LUAD"
"11",0.5,0.198,-1.74771175903787,10,"LUSC"
"12",0.5,0.258,-0.582628347830472,4,"PRAD"
"13",0.5,0.536,-1.40518859777814,7,"STES"
"14",0.5,0.621,-0.805548016182446,5,"THCA"
"15",0.5,0.094,1.4606309672915,1,"UCEC"
