"","likelihood","bart","expr","rank_size","cancer"
"14",0.5,0.526,1.49361272059963,1,"THCA"
"15",0.5,0.467,1.48000977515002,2,"UCEC"
"2",0.5,0.635,1.28488503431062,3,"BRCA_1"
"4",0.5,0.588,1.17466142156005,4,"COAD_READ"
"1",0.5,0.452,1.10225138887381,5,"BLCA"
"3",0.5,0.32,1.09945972604066,6,"BRCA_2"
"12",0.5,0.53,1.09608062718817,7,"PRAD"
"11",0.5,0.483,1.076685343357,8,"LUSC"
"13",0.5,0.607,1.06753725068797,9,"STES"
"5",0.5,0.573,1.02105280155134,10,"HNSC"
"10",0.5,0.523,0.9963036891994,11,"LUAD"
"7",0.5,0.772,0.971605953265588,12,"KIRC"
"8",0.5,0.698,0.796030204559805,13,"KIRP"
"6",0.5,0.501,0.70054738101125,14,"KICH"
"9",0.5,0.686,0.488116472214992,15,"LIHC"
