"","likelihood","bart","expr","rank_size","cancer"
"1",2.96333750220139e-19,0.455,1.95315134194153,10,"BLCA"
"2",5.18005509111233e-16,0.395,1.71866984280277,12,"BRCA_1"
"3",3.28439984508104e-29,0.875,2.15149869826869,7,"BRCA_2"
"4",1.68804924324227e-06,0.253,1.88647666420111,11,"COAD_READ"
"5",3.78085249888505e-18,0.468,2.65375706216531,1,"HNSC"
"6",7.6497599471969e-10,0.413,1.47198094644662,14,"KICH"
"7",8.49480092944053e-06,0.893,2.26312712383694,4,"KIRC"
"8",1.00844185264629e-08,0.918,2.04173513708729,9,"KIRP"
"9",2.05342170549368e-14,0.165,1.01200840630774,15,"LIHC"
"10",6.45744736610366e-11,0.186,2.04585617086957,8,"LUAD"
"11",5.8456284499147e-09,0.171,2.21713141100834,5,"LUSC"
"12",0.000107806985297061,0.229,1.64542812972155,13,"PRAD"
"13",2.20043779033331e-24,0.265,2.39957433535293,2,"STES"
"14",2.95037111559423e-24,0.641,2.20098671739626,6,"THCA"
"15",1.78300408582208e-12,0.723,2.28339089691999,3,"UCEC"
