"","likelihood","bart","expr","rank_size","cancer"
"3",0.14579918501641,0.984,1.70344140039333,1,"BRCA_2"
"11",0.122852009582949,0.94,1.68867819577612,2,"LUSC"
"4",0.0111346274606075,0.941,1.60670680210944,3,"COAD_READ"
"15",1.02724872261528e-08,0.947,1.57479646918201,4,"UCEC"
"14",0.853308534630047,0.886,1.54361524783856,5,"THCA"
"10",0.000813727053027295,0.942,1.54150181132573,6,"LUAD"
"5",1.03016153384569e-08,0.959,1.52318149571626,7,"HNSC"
"13",1.41191217040793e-14,0.954,1.52311332882615,8,"STES"
"2",0.310419535644395,0.955,1.43485243569029,9,"BRCA_1"
"7",0.0164721598162193,0.964,1.41768240416269,10,"KIRC"
"1",0.173402986465396,0.924,1.37768193592316,11,"BLCA"
"12",0.000372481826616836,0.951,1.34686371979549,12,"PRAD"
"8",0.421645158022452,0.932,1.31629028101031,13,"KIRP"
"6",0.00145366169572383,0.758,1.30407348858481,14,"KICH"
"9",8.91801960067632e-11,0.976,0.339191689285296,15,"LIHC"
