"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.738,-1.00689181545716,11,"BLCA"
"2",0.5,0.447,-0.742583425443274,9,"BRCA_1"
"3",0.5,0.545,1.43367686652126,3,"BRCA_2"
"4",0.5,0.524,-0.879911034479511,10,"COAD_READ"
"5",0.5,0.317,-0.312912616255574,8,"HNSC"
"6",0.5,0.607,-1.86605960814122,14,"KICH"
"7",0.5,0.372,0.136438743976748,5,"KIRC"
"8",0.5,0.377,0.995233934229838,4,"KIRP"
"9",0.5,0.428,-1.08329710517441,12,"LIHC"
"10",0.5,0.309,0.0194249467474774,6,"LUAD"
"11",0.5,0.322,2.3102606162207,2,"LUSC"
"12",0.5,0.309,-1.48729511278874,13,"PRAD"
"13",0.5,0.353,-0.214910788397418,7,"STES"
"14",0.5,0.245,-2.18500600211325,15,"THCA"
"15",0.5,0.646,4.07948013890153,1,"UCEC"
