"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.382,-2.2750448935496,11,"BLCA"
"2",0.5,0.72,-2.27576339390101,12,"BRCA_1"
"3",0.5,0.522,-2.26372623777705,7,"BRCA_2"
"4",0.5,0.468,-2.260180109023,6,"COAD_READ"
"5",0.5,0.657,-2.27976059699731,13,"HNSC"
"6",0.5,0.76,-2.28247194073575,14,"KICH"
"7",0.5,0.49,-2.1559023352698,3,"KIRC"
"8",0.5,0.394,-2.00500865976415,1,"KIRP"
"9",0.5,0.777,-2.27075518470345,9,"LIHC"
"10",0.5,0.556,-2.26480137889105,8,"LUAD"
"11",0.5,0.548,-2.25278426940564,5,"LUSC"
"12",0.5,0.768,-2.27199894752042,10,"PRAD"
"13",0.5,0.45,-2.08456076802693,2,"STES"
"14",0.5,0.662,-2.28390323790918,15,"THCA"
"15",0.5,0.517,-2.16600427005813,4,"UCEC"
