"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.261,2.47977269071141,10,"BLCA"
"2",0.5,0.637,2.8451697043476,4,"BRCA_1"
"3",0.5,0.887,2.73791987732775,5,"BRCA_2"
"4",0.5,0.896,2.97413320104273,1,"COAD_READ"
"5",0.5,0.892,2.93363973710547,3,"HNSC"
"6",0.5,0.353,2.30550635434375,14,"KICH"
"7",0.5,0.723,2.45992485111493,11,"KIRC"
"8",0.5,0.894,2.45973282876454,12,"KIRP"
"9",0.5,0.699,1.93557299011301,15,"LIHC"
"10",0.5,0.87,2.71594746915649,7,"LUAD"
"11",0.5,0.683,2.93409966060551,2,"LUSC"
"12",0.5,0.281,2.72122827647571,6,"PRAD"
"13",0.5,0.897,2.59234324209446,8,"STES"
"14",0.5,0.892,2.45548187418617,13,"THCA"
"15",0.5,0.488,2.5667558719935,9,"UCEC"
