"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.68,2.55713409752844,13,"BLCA"
"2",0.5,0.123,2.96741193953169,4,"BRCA_1"
"3",0.5,0.268,2.96967875813537,3,"BRCA_2"
"4",0.5,0.198,2.8498265811002,7,"COAD_READ"
"5",0.5,0.205,2.73250758015031,11,"HNSC"
"6",0.5,0.527,3.05680643255817,1,"KICH"
"7",0.5,0.128,2.82991910317752,8,"KIRC"
"8",0.5,0.121,2.85328030303553,6,"KIRP"
"9",0.5,0.13,2.3574694702752,15,"LIHC"
"10",0.5,0.152,2.76825821010278,10,"LUAD"
"11",0.5,0.172,2.93077624228598,5,"LUSC"
"12",0.5,0.105,2.64901303708495,12,"PRAD"
"13",0.5,0.145,2.98697995463449,2,"STES"
"14",0.5,0.11,2.82188137605357,9,"THCA"
"15",0.5,0.477,2.46300605550489,14,"UCEC"
