"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.45,3.21406276910864,3,"BLCA"
"2",0.5,0.56,3.35834608911063,1,"BRCA_1"
"3",0.5,0.345,3.31367257974015,2,"BRCA_2"
"4",0.5,0.577,2.74969189837237,10,"COAD_READ"
"5",0.5,0.689,2.595356280071,12,"HNSC"
"6",0.5,0.165,2.448640258705,14,"KICH"
"7",0.5,0.811,2.38532079218672,15,"KIRC"
"8",0.5,0.652,2.72593864775968,11,"KIRP"
"9",0.5,0.731,2.58457117498614,13,"LIHC"
"10",0.5,0.59,3.12906937581938,6,"LUAD"
"11",0.5,0.366,3.03922707530338,8,"LUSC"
"12",0.5,0.482,3.08017856346189,7,"PRAD"
"13",0.5,0.564,2.75944711068426,9,"STES"
"14",0.5,0.637,3.18960880672299,4,"THCA"
"15",0.5,0.428,3.16510098065049,5,"UCEC"
