"","likelihood","bart","expr","rank_size","cancer"
"12",0.5,0.536,2.87064590998249,1,"PRAD"
"3",0.5,0.311,2.5990005476862,2,"BRCA_2"
"15",0.5,0.816,2.41185998572787,3,"UCEC"
"2",0.5,0.912,2.37443276228878,4,"BRCA_1"
"11",0.5,0.556,2.28476965626297,5,"LUSC"
"9",0.5,0.465,2.06227654743008,6,"LIHC"
"1",0.5,0.938,2.02315312935695,7,"BLCA"
"10",0.5,0.439,1.96739423934392,8,"LUAD"
"5",0.5,0.168,1.81193588442285,9,"HNSC"
"8",0.5,0.153,1.28683065958678,10,"KIRP"
"6",0.5,0.839,1.20817120970358,11,"KICH"
"4",0.5,0.61,1.07403794504747,12,"COAD_READ"
"13",0.5,0.391,1.03989546399298,13,"STES"
"14",0.5,0.34,0.650735107469077,14,"THCA"
"7",0.5,0.233,0.187072023536027,15,"KIRC"
