"","likelihood","bart","expr","rank_size","cancer"
"1",0.0140731039885385,0.738,2.10612841983087,11,"BLCA"
"2",7.59252296894562e-61,0.804,3.3070629557405,1,"BRCA_1"
"3",3.07108534066484e-06,0.674,2.14674361756536,9,"BRCA_2"
"4",0.0557925976156591,0.261,2.11647860978577,10,"COAD_READ"
"5",9.34528216391732e-08,0.249,1.83966680576073,14,"HNSC"
"6",4.77053475244627e-19,0.893,1.64881266358363,15,"KICH"
"7",4.00678745056547e-37,0.644,2.69623283344738,2,"KIRC"
"8",2.31101820985673e-15,0.562,2.63677367026517,4,"KIRP"
"9",1.75071085278664e-11,0.298,2.38975827545791,8,"LIHC"
"10",4.69463830582284e-14,0.536,2.5552655415806,5,"LUAD"
"11",0.00714992874168767,0.255,1.9105644118206,12,"LUSC"
"12",0.000729164378068123,0.701,1.85525415417296,13,"PRAD"
"13",0.709175554163823,0.35,2.5079335441372,6,"STES"
"14",0.0336593751001006,0.566,2.44232754065524,7,"THCA"
"15",7.38577029337582e-06,0.941,2.67945287999194,3,"UCEC"
