"","likelihood","bart","expr","rank_size","cancer"
"4",0.5,0.288,3.75455451067522,1,"COAD_READ"
"1",0.5,0.716,3.46026121102029,2,"BLCA"
"6",0.5,0.472,3.4545385516357,3,"KICH"
"15",0.5,0.525,3.42655089573922,4,"UCEC"
"8",0.5,0.085,3.41451829497062,5,"KIRP"
"7",0.5,0.133,3.3530833159985,6,"KIRC"
"13",0.5,0.166,3.30478435969749,7,"STES"
"12",0.5,0.142,3.28992084209941,8,"PRAD"
"9",0.5,0.125,3.25703169667954,9,"LIHC"
"11",0.5,0.198,3.22404543635595,10,"LUSC"
"10",0.5,0.161,3.2174307158869,11,"LUAD"
"2",0.5,0.18,3.09809974005713,12,"BRCA_1"
"5",0.5,0.074,3.09254078642424,13,"HNSC"
"14",0.5,0.114,3.0569688613058,14,"THCA"
"3",0.5,0.308,2.87326394549784,15,"BRCA_2"
