"","likelihood","bart","expr","rank_size","cancer"
"4",9.01951527418883e-19,0.323,0.883017738291499,1,"COAD_READ"
"13",6.0909783507964e-10,0.174,-0.133287135679983,2,"STES"
"2",3.50350558160302e-22,0.088,-1.05377617291383,3,"BRCA_1"
"10",6.64180269290858e-11,0.099,-1.18993535507125,4,"LUAD"
"3",1.23156124132032e-07,0.604,-1.29823338890777,5,"BRCA_2"
"9",1.40396113415738e-08,0.088,-1.35768505253912,6,"LIHC"
"11",2.00361342358455e-05,0.181,-1.38747027104298,7,"LUSC"
"15",0.0890986767971443,0.72,-1.55453342416595,8,"UCEC"
"6",1.33793425613158e-11,0.448,-1.63131931055495,9,"KICH"
"1",3.58687815859104e-07,0.838,-1.65830182613542,10,"BLCA"
"7",0.887971928527733,0.114,-1.67239294242358,11,"KIRC"
"12",0.475428314468734,0.092,-1.67978244245392,12,"PRAD"
"8",0.00269183008298221,0.075,-1.71009284103994,13,"KIRP"
"14",0.095643428424334,0.094,-1.81484695362489,14,"THCA"
"5",8.68266558076512e-22,0.0629999999999999,-2.09873593390036,15,"HNSC"
