"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.138,2.12419852795563,9,"BLCA"
"2",0.5,0.427,1.76826928184465,13,"BRCA_1"
"3",0.5,0.762,2.37167482526137,4,"BRCA_2"
"4",0.5,0.212,2.24358085408563,6,"COAD_READ"
"5",0.5,0.703,2.41117972672811,3,"HNSC"
"6",0.5,0.441,1.55595287229594,15,"KICH"
"7",0.5,0.9,2.14759752977931,8,"KIRC"
"8",0.5,0.804,2.00154675530548,10,"KIRP"
"9",0.5,0.342,1.90012986602993,12,"LIHC"
"10",0.5,0.328,2.17580050464837,7,"LUAD"
"11",0.5,0.264,2.45819274026828,1,"LUSC"
"12",0.5,0.432,1.6884225705496,14,"PRAD"
"13",0.5,0.326,2.41653070167525,2,"STES"
"14",0.5,0.56,1.99648128459333,11,"THCA"
"15",0.5,0.221,2.31166328733774,5,"UCEC"
