"","likelihood","bart","expr","rank_size","cancer"
"1",0.00013271736312515,0.212,-1.57413158496297,12,"BLCA"
"2",0.001572963127866,0.261,-0.656368053117988,3,"BRCA_1"
"3",3.17293807222964e-09,0.825,-1.05809656335097,7,"BRCA_2"
"4",1.35207814571251e-05,0.118,-1.31570821148281,11,"COAD_READ"
"5",0.00227089722378269,0.671,-1.58557337308978,13,"HNSC"
"6",0.787100627914804,0.452,-1.2981465051593,10,"KICH"
"7",0.800251696430474,0.932,-0.641553440362614,2,"KIRC"
"8",0.200812830077875,0.948,-1.84711409117359,15,"KIRP"
"9",0.204259423490843,0.157,-1.73005101693301,14,"LIHC"
"10",2.11633792097253e-05,0.155,-0.85401183571521,4,"LUAD"
"11",3.72325908378867e-15,0.0649999999999999,-1.26234458767243,8,"LUSC"
"12",0.219553865316782,0.245,-1.02839291949599,5,"PRAD"
"13",0.0633922927249664,0.336,-0.596745468694435,1,"STES"
"14",0.342688193146114,0.812,-1.05541506629856,6,"THCA"
"15",0.209969873220962,0.354,-1.29100661210641,9,"UCEC"
