"","likelihood","bart","expr","rank_size","cancer"
"14",0.5,0.92,1.04878419573859,1,"THCA"
"2",0.5,0.921,0.832347785300127,2,"BRCA_1"
"10",0.5,0.787,0.753017988716177,3,"LUAD"
"11",0.5,0.658,0.700338285092685,4,"LUSC"
"3",0.5,0.762,0.639594886684445,5,"BRCA_2"
"5",0.5,0.832,0.581908587921814,6,"HNSC"
"13",0.5,0.901,0.513673415351069,7,"STES"
"1",0.5,0.331,0.385767538264104,8,"BLCA"
"7",0.5,0.754,0.231553993662351,9,"KIRC"
"12",0.5,0.827,0.0694399745694667,10,"PRAD"
"4",0.5,0.847,-0.0562232200623483,11,"COAD_READ"
"15",0.5,0.674,-0.192686072040741,12,"UCEC"
"8",0.5,0.724,-0.30574805392328,13,"KIRP"
"6",0.5,0.762,-0.810770448706639,14,"KICH"
"9",0.5,0.749,-1.58105146771087,15,"LIHC"
