"","likelihood","bart","expr","rank_size","cancer"
"2",1.05404362642291e-30,0.5,2.18783151821982,1,"BRCA_1"
"11",5.88155447200053e-28,0.438,2.02799293483484,2,"LUSC"
"14",7.16427007751268e-22,0.256,1.93083607586278,3,"THCA"
"3",3.43211441027382e-20,0.705,1.88005380086867,4,"BRCA_2"
"13",5.34784558193793e-13,0.291,1.87109527657814,5,"STES"
"12",8.77424634105977e-05,0.284,1.77397116796139,6,"PRAD"
"10",2.24584062183597e-18,0.295,1.76998961088895,7,"LUAD"
"6",0.274734308071383,0.87,1.74365783665859,8,"KICH"
"15",5.37772362666963e-30,0.799,1.72931694555442,9,"UCEC"
"7",6.61233489912839e-18,0.131,1.67552493336535,10,"KIRC"
"1",3.4782901508693e-42,0.849,1.66694240556458,11,"BLCA"
"5",1.38333511200446e-37,0.358,1.63270669266314,12,"HNSC"
"4",0.110813185084487,0.552,1.57916041917547,13,"COAD_READ"
"8",5.28771627182719e-11,0.372,1.42677384173168,14,"KIRP"
"9",1.05837700911369e-77,0.391,1.00574808978474,15,"LIHC"
