"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.55,1.7789848925477,9,"BLCA"
"2",0.5,0.0570000000000001,2.22188230199864,1,"BRCA_1"
"3",0.5,0.548,1.78561152748319,8,"BRCA_2"
"4",0.5,0.0620000000000001,1.86139919343733,7,"COAD_READ"
"5",0.5,0.046,1.70228243895994,11,"HNSC"
"6",0.5,0.247,1.76349232162734,10,"KICH"
"7",0.5,0.141,2.12904731637785,2,"KIRC"
"8",0.5,0.074,1.6809998713852,13,"KIRP"
"9",0.5,0.046,1.59816181261483,15,"LIHC"
"10",0.5,0.07,1.98704000479296,6,"LUAD"
"11",0.5,0.0659999999999999,1.9913899437771,4,"LUSC"
"12",0.5,0.0600000000000001,2.01334773395513,3,"PRAD"
"13",0.5,0.069,1.98989480781655,5,"STES"
"14",0.5,0.0669999999999999,1.69708238381086,12,"THCA"
"15",0.5,0.337,1.63952489715543,14,"UCEC"
