"","likelihood","bart","expr","rank_size","cancer"
"3",0.00184385691403743,0.821,3.0540545757894,1,"BRCA_2"
"13",0.0201169413101957,0.951,3.02399345526275,2,"STES"
"2",0.349173477712472,0.918,2.97762680152967,3,"BRCA_1"
"11",0.825444647838253,0.919,2.81669541503694,4,"LUSC"
"5",7.84670520344584e-06,0.916,2.70430181489226,5,"HNSC"
"4",0.00151038801634974,0.961,2.69379273364376,6,"COAD_READ"
"10",0.251923667801217,0.944,2.62254373344678,7,"LUAD"
"14",0.208800457807823,0.911,2.61349665307055,8,"THCA"
"1",0.0179217608994016,0.574,2.57910228172163,9,"BLCA"
"7",0.724203900544069,0.89,2.55100751558412,10,"KIRC"
"12",0.000764520612036876,0.917,2.41464771843537,11,"PRAD"
"15",0.0164022611511453,0.72,2.36131495365602,12,"UCEC"
"8",0.950219748846565,0.953,2.09656578926481,13,"KIRP"
"9",1.39465373677847e-05,0.932,1.97396998563083,14,"LIHC"
"6",0.000658893349955554,0.691,1.85604410042367,15,"KICH"
