"","likelihood","bart","expr","rank_size","cancer"
"3",0.5,0.211,0.997912530998629,1,"BRCA_2"
"7",0.5,0.784,-0.656558064355867,2,"KIRC"
"2",0.5,0.437,-0.935777350529683,3,"BRCA_1"
"5",0.5,0.492,-1.31408823495138,4,"HNSC"
"14",0.5,0.647,-1.4267673500604,5,"THCA"
"13",0.5,0.679,-1.48631414459463,6,"STES"
"10",0.5,0.504,-1.48692023903793,7,"LUAD"
"11",0.5,0.594,-1.55762469043545,8,"LUSC"
"15",0.5,0.172,-1.64584029101738,9,"UCEC"
"4",0.5,0.403,-1.68432106585926,10,"COAD_READ"
"1",0.5,0.188,-1.83288575053216,11,"BLCA"
"6",0.5,0.261,-1.84251544726655,12,"KICH"
"8",0.5,0.413,-2.06022961086093,13,"KIRP"
"9",0.5,0.486,-2.14537426949876,14,"LIHC"
"12",0.5,0.756,-2.15780371296922,15,"PRAD"
