"","likelihood","bart","expr","rank_size","cancer"
"11",4.05388487467572e-20,0.955,4.12469234483478,1,"LUSC"
"5",1.78195679867669e-10,0.866,1.90875793857541,2,"HNSC"
"10",6.91644360460856e-08,0.92,1.07352754335948,3,"LUAD"
"13",4.61591726809264e-11,0.907,0.479437548564836,4,"STES"
"1",3.31041197912048e-06,0.284,0.0977826450746122,5,"BLCA"
"12",2.36184726940049e-08,0.933,0.041563696248858,6,"PRAD"
"15",3.88872775823301e-12,0.615,-1.13904115103748,7,"UCEC"
"4",3.72342424024418e-05,0.833,-1.28659274798898,8,"COAD_READ"
"2",0.247218043290701,0.454,-1.31250662972557,9,"BRCA_1"
"3",0.046367523341725,0.345,-1.44884975089758,10,"BRCA_2"
"9",0.000407513930592858,0.951,-1.8042147994491,11,"LIHC"
"6",0.0688101790882221,0.395,-2.04057711406826,12,"KICH"
"8",0.00966073211572816,0.597,-2.06747971093775,13,"KIRP"
"14",0.739651401941512,0.829,-2.1109399710638,14,"THCA"
"7",0.000854025060394784,0.804,-2.13225506088989,15,"KIRC"
