"","likelihood","bart","expr","rank_size","cancer"
"10",0.5,0.875,0.240712570230786,1,"LUAD"
"3",0.5,0.945,0.13669485232253,2,"BRCA_2"
"13",0.5,0.771,-0.0516276957026466,3,"STES"
"11",0.5,0.917,-0.246906125699544,4,"LUSC"
"7",0.5,0.706,-0.271636422502102,5,"KIRC"
"2",0.5,0.886,-0.478537635945177,6,"BRCA_1"
"5",0.5,0.899,-0.537327295557511,7,"HNSC"
"14",0.5,0.813,-0.744825083794082,8,"THCA"
"15",0.5,0.883,-0.848166967742423,9,"UCEC"
"4",0.5,0.607,-0.862077850571155,10,"COAD_READ"
"8",0.5,0.748,-0.917201466777597,11,"KIRP"
"1",0.5,0.802,-0.922057060104798,12,"BLCA"
"9",0.5,0.889,-0.993261264654584,13,"LIHC"
"12",0.5,0.812,-1.14304495080287,14,"PRAD"
"6",0.5,0.849,-1.63421471727974,15,"KICH"
