"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.355,2.78116217375622,12,"BLCA"
"2",0.5,0.0570000000000001,3.32887792179705,1,"BRCA_1"
"3",0.5,0.116,3.15312100794587,5,"BRCA_2"
"4",0.5,0.0610000000000001,2.68362430022525,14,"COAD_READ"
"5",0.5,0.051,2.72478251433656,13,"HNSC"
"6",0.5,0.864,3.11072320292185,6,"KICH"
"7",0.5,0.074,3.18694590386061,3,"KIRC"
"8",0.5,0.049,2.99544530176539,8,"KIRP"
"9",0.5,0.0590000000000001,1.80738227238934,15,"LIHC"
"10",0.5,0.0629999999999999,2.79192818607818,11,"LUAD"
"11",0.5,0.0679999999999999,2.9397900027883,9,"LUSC"
"12",0.5,0.0610000000000001,3.00100401127301,7,"PRAD"
"13",0.5,0.069,2.82966781565566,10,"STES"
"14",0.5,0.073,3.15554375791866,4,"THCA"
"15",0.5,0.104,3.2999660461538,2,"UCEC"
