"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.284,2.400427450079,10,"BLCA"
"2",0.5,0.542,2.70444188306032,2,"BRCA_1"
"3",0.5,0.287,2.48155607519263,7,"BRCA_2"
"4",0.5,0.411,2.45990339886231,8,"COAD_READ"
"5",0.5,0.518,2.43076354819306,9,"HNSC"
"6",0.5,0.37,2.56611929513912,4,"KICH"
"7",0.5,0.719,2.16100594957202,14,"KIRC"
"8",0.5,0.474,2.30680930430209,12,"KIRP"
"9",0.5,0.573,1.38796325507785,15,"LIHC"
"10",0.5,0.496,2.6012961795468,3,"LUAD"
"11",0.5,0.509,2.55214717884219,5,"LUSC"
"12",0.5,0.692,2.3035246308339,13,"PRAD"
"13",0.5,0.577,2.72311899513236,1,"STES"
"14",0.5,0.621,2.39810959810047,11,"THCA"
"15",0.5,0.256,2.54415232889053,6,"UCEC"
