"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.242,2.62398791757942,8,"BLCA"
"2",0.5,0.306,2.8774447264984,1,"BRCA_1"
"3",0.5,0.163,2.85933032436144,2,"BRCA_2"
"4",0.5,0.619,1.98433654611873,14,"COAD_READ"
"5",0.5,0.681,2.43555129341477,12,"HNSC"
"6",0.5,0.474,2.7474212508024,5,"KICH"
"7",0.5,0.47,2.48789880528015,10,"KIRC"
"8",0.5,0.504,2.45429092010107,11,"KIRP"
"9",0.5,0.454,1.95304582475155,15,"LIHC"
"10",0.5,0.415,2.56277805043422,9,"LUAD"
"11",0.5,0.449,2.63643056173778,7,"LUSC"
"12",0.5,0.265,2.66122516876851,6,"PRAD"
"13",0.5,0.593,2.3278363642962,13,"STES"
"14",0.5,0.615,2.76562855952922,4,"THCA"
"15",0.5,0.118,2.80587863932367,3,"UCEC"
