"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.364,3.08756316022187,4,"BLCA"
"2",0.5,0.549,2.78894855063898,10,"BRCA_1"
"3",0.5,0.586,3.09092879674261,3,"BRCA_2"
"4",0.5,0.807,2.91899141307889,6,"COAD_READ"
"5",0.5,0.751,2.80386213920303,9,"HNSC"
"6",0.5,0.546,2.49512116601178,14,"KICH"
"7",0.5,0.576,2.4224766701046,15,"KIRC"
"8",0.5,0.605,2.59897280058539,12,"KIRP"
"9",0.5,0.822,2.58355978701802,13,"LIHC"
"10",0.5,0.77,2.97124813443623,5,"LUAD"
"11",0.5,0.812,2.81881304794715,8,"LUSC"
"12",0.5,0.865,3.11198312525463,2,"PRAD"
"13",0.5,0.84,2.71545423689317,11,"STES"
"14",0.5,0.601,2.90934987862543,7,"THCA"
"15",0.5,0.624,3.14089214060275,1,"UCEC"
