"","likelihood","bart","expr","rank_size","cancer"
"7",0.5,0.239,2.52609134118204,1,"KIRC"
"12",0.5,0.458,2.29083591612788,2,"PRAD"
"11",0.5,0.611,2.27047168616681,3,"LUSC"
"6",0.5,0.848,2.27006626183648,4,"KICH"
"8",0.5,0.375,2.08790422341682,5,"KIRP"
"2",0.5,0.62,2.07618087957281,6,"BRCA_1"
"3",0.5,0.847,1.92252580052582,7,"BRCA_2"
"10",0.5,0.407,1.78508259397348,8,"LUAD"
"15",0.5,0.812,1.73066932397692,9,"UCEC"
"9",0.5,0.524,1.61355511342222,10,"LIHC"
"14",0.5,0.313,1.61072106363001,11,"THCA"
"13",0.5,0.38,1.57737310026381,12,"STES"
"4",0.5,0.477,1.44717692961169,13,"COAD_READ"
"1",0.5,0.839,1.43445623988623,14,"BLCA"
"5",0.5,0.566,1.30226029028067,15,"HNSC"
