"","likelihood","bart","expr","rank_size","cancer"
"3",0.5,0.673,-0.347711117624489,1,"BRCA_2"
"15",0.5,0.628,-0.549225615219057,2,"UCEC"
"11",0.5,0.282,-0.608471918500322,3,"LUSC"
"13",0.5,0.123,-0.789647573091422,4,"STES"
"2",0.5,0.199,-0.877793207874501,5,"BRCA_1"
"12",0.5,0.134,-0.920224738269663,6,"PRAD"
"10",0.5,0.148,-1.03924650675505,7,"LUAD"
"7",0.5,0.1,-1.15989133508797,8,"KIRC"
"14",0.5,0.115,-1.16030054194307,9,"THCA"
"5",0.5,0.185,-1.30635402662826,10,"HNSC"
"1",0.5,0.813,-1.31664939918814,11,"BLCA"
"8",0.5,0.101,-1.4262794913425,12,"KIRP"
"9",0.5,0.144,-1.50214658238115,13,"LIHC"
"4",0.5,0.165,-1.63617836869315,14,"COAD_READ"
"6",0.5,0.781,-1.87461783502489,15,"KICH"
