"","likelihood","bart","expr","rank_size","cancer"
"4",0.5,0.722,1.42121090417446,1,"COAD_READ"
"11",0.5,0.573,1.09655076025215,2,"LUSC"
"15",0.5,0.781,1.03538512628885,3,"UCEC"
"3",0.5,0.253,0.992420332927217,4,"BRCA_2"
"13",0.5,0.739,0.956406892286774,5,"STES"
"1",0.5,0.446,0.955088213701069,6,"BLCA"
"5",0.5,0.274,0.804920303711328,7,"HNSC"
"2",0.5,0.709,0.747238239429685,8,"BRCA_1"
"12",0.5,0.729,0.743372199931638,9,"PRAD"
"10",0.5,0.7,0.717135070660899,10,"LUAD"
"14",0.5,0.54,0.531786778215759,11,"THCA"
"8",0.5,0.493,0.387364048709851,12,"KIRP"
"7",0.5,0.399,0.207785330716257,13,"KIRC"
"6",0.5,0.746,0.111597115000735,14,"KICH"
"9",0.5,0.589,0.102308033499466,15,"LIHC"
