"","likelihood","bart","expr","rank_size","cancer"
"1",0.519200162346664,0.135,-0.141398846491281,4,"BLCA"
"2",0.146046646469245,0.478,-0.208291038119096,6,"BRCA_1"
"3",3.52357938838034e-05,0.195,-0.751321890370543,10,"BRCA_2"
"4",7.69164002630902e-07,0.915,-0.397502091767381,9,"COAD_READ"
"5",1.49268865874977e-06,0.945,1.14803166480779,1,"HNSC"
"6",0.102220835002578,0.245,-2.0149362574945,15,"KICH"
"7",0.897165051968717,0.891,-1.33372942547799,13,"KIRC"
"8",0.175657161186412,0.88,-1.54289897623066,14,"KIRP"
"9",2.54151198791647e-05,0.648,-0.891709226661611,11,"LIHC"
"10",1.36510688731481e-11,0.906,-0.184714142705743,5,"LUAD"
"11",1.86097765939236e-07,0.983,1.03469666033231,2,"LUSC"
"12",3.48280858486729e-19,0.49,-0.313795702891549,7,"PRAD"
"13",0.0889850703895461,0.821,-0.319850533246936,8,"STES"
"14",3.22036504136076e-05,0.955,-1.04584197911449,12,"THCA"
"15",0.00011251622962504,0.442,0.330965601174119,3,"UCEC"
