"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.141,1.43837759230881,12,"BLCA"
"2",0.5,0.401,2.00599449003402,8,"BRCA_1"
"3",0.5,0.557,2.2591178711553,5,"BRCA_2"
"4",0.5,0.392,1.28617156158529,13,"COAD_READ"
"5",0.5,0.638,2.39862542694953,4,"HNSC"
"6",0.5,0.285,1.1316190009815,14,"KICH"
"7",0.5,0.857,2.81981200962896,1,"KIRC"
"8",0.5,0.891,2.10725605791786,6,"KIRP"
"9",0.5,0.24,0.924507301882923,15,"LIHC"
"10",0.5,0.393,2.49435271091614,3,"LUAD"
"11",0.5,0.191,2.017749687393,7,"LUSC"
"12",0.5,0.508,1.47490557143605,11,"PRAD"
"13",0.5,0.537,1.98366346367954,9,"STES"
"14",0.5,0.436,2.5174990292087,2,"THCA"
"15",0.5,0.153,1.6104342102602,10,"UCEC"
