"","likelihood","bart","expr","rank_size","cancer"
"3",0.5,0.337,0.236529109894713,1,"BRCA_2"
"10",0.5,0.515,0.00920385792529146,2,"LUAD"
"11",0.5,0.272,-0.00672151980711887,3,"LUSC"
"13",0.5,0.371,-0.0308669772738063,4,"STES"
"1",0.5,0.469,-0.116750355359128,5,"BLCA"
"2",0.5,0.461,-0.121706585738033,6,"BRCA_1"
"15",0.5,0.296,-0.18442150074366,7,"UCEC"
"12",0.5,0.849,-0.25755224530512,8,"PRAD"
"14",0.5,0.681,-0.352391865931758,9,"THCA"
"7",0.5,0.409,-0.364345313481668,10,"KIRC"
"4",0.5,0.279,-0.432479124430025,11,"COAD_READ"
"8",0.5,0.238,-0.468678178004754,12,"KIRP"
"5",0.5,0.365,-0.655125885665033,13,"HNSC"
"6",0.5,0.219,-0.719491051349189,14,"KICH"
"9",0.5,0.728,-0.766810818670285,15,"LIHC"
