"","likelihood","bart","expr","rank_size","cancer"
"4",2.7531833067187e-15,0.405,2.84593538889408,1,"COAD_READ"
"6",8.24763548752378e-06,0.313,2.79086142365184,2,"KICH"
"5",3.73877031590314e-05,0.786,2.40869031070862,3,"HNSC"
"10",1.01685641981047e-19,0.517,2.23486757105554,4,"LUAD"
"13",1.66896239348246e-98,0.607,2.22211304007488,5,"STES"
"3",3.66971017106783e-07,0.857,2.17231183255897,6,"BRCA_2"
"2",1.81355289077172e-05,0.44,2.11145405639572,7,"BRCA_1"
"11",2.55836109926221e-42,0.335,1.69455039741415,8,"LUSC"
"1",3.27579685888624e-06,0.225,1.40298424055547,9,"BLCA"
"15",6.09706129192154e-20,0.488,1.17825276580348,10,"UCEC"
"14",0.0672192797527534,0.653,1.14392811506145,11,"THCA"
"8",8.87826649555864e-05,0.965,0.998452867414051,12,"KIRP"
"7",0.615800130993426,0.918,0.918479813336734,13,"KIRC"
"12",2.71234954886444e-16,0.518,-0.0606427309803424,14,"PRAD"
"9",0.217535980376199,0.254,-0.514811230324066,15,"LIHC"
