"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.839,3.21742612509952,5,"BLCA"
"2",0.5,0.458,2.17878606567473,14,"BRCA_1"
"3",0.5,0.635,3.12079165396866,6,"BRCA_2"
"4",0.5,0.767,2.95559898431639,9,"COAD_READ"
"5",0.5,0.357,3.76305537500082,1,"HNSC"
"6",0.5,0.105,2.47920763343718,13,"KICH"
"7",0.5,0.343,3.52905483766979,3,"KIRC"
"8",0.5,0.369,3.3556954620344,4,"KIRP"
"9",0.5,0.524,0.799897331440401,15,"LIHC"
"10",0.5,0.427,2.90399245181916,11,"LUAD"
"11",0.5,0.373,3.74018088065286,2,"LUSC"
"12",0.5,0.413,2.94332205475403,10,"PRAD"
"13",0.5,0.476,3.0310370122098,7,"STES"
"14",0.5,0.244,2.98731408033104,8,"THCA"
"15",0.5,0.598,2.84480253152323,12,"UCEC"
