"","likelihood","bart","expr","rank_size","cancer"
"2",0.5,0.635,1.97601077424395,1,"BRCA_1"
"12",0.5,0.587,1.94342562179792,2,"PRAD"
"10",0.5,0.559,1.90198391297928,3,"LUAD"
"7",0.5,0.297,1.83885169094731,4,"KIRC"
"11",0.5,0.619,1.81432412304424,5,"LUSC"
"3",0.5,0.582,1.80474762093921,6,"BRCA_2"
"14",0.5,0.382,1.80301677383855,7,"THCA"
"13",0.5,0.384,1.79641943293945,8,"STES"
"1",0.5,0.497,1.73559301881398,9,"BLCA"
"4",0.5,0.61,1.68425763961571,10,"COAD_READ"
"6",0.5,0.336,1.6392871691139,11,"KICH"
"5",0.5,0.523,1.60798899761468,12,"HNSC"
"8",0.5,0.393,1.57401475758828,13,"KIRP"
"15",0.5,0.4,1.56381175733748,14,"UCEC"
"9",0.5,0.569,0.78234342415119,15,"LIHC"
