"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.887,0.232830011614467,15,"BLCA"
"2",0.5,0.828,1.38837184335635,3,"BRCA_1"
"3",0.5,0.967,0.788465680849149,7,"BRCA_2"
"4",0.5,0.942,0.348621591580952,13,"COAD_READ"
"5",0.5,0.787,0.358181594636974,12,"HNSC"
"6",0.5,0.699,0.392253694347398,11,"KICH"
"7",0.5,0.411,1.91270816187647,1,"KIRC"
"8",0.5,0.85,0.555927864257735,10,"KIRP"
"9",0.5,0.67,0.587071407340712,9,"LIHC"
"10",0.5,0.862,0.876070133271161,5,"LUAD"
"11",0.5,0.911,0.69606870723213,8,"LUSC"
"12",0.5,0.601,0.934570501646761,4,"PRAD"
"13",0.5,0.73,1.50897549563904,2,"STES"
"14",0.5,0.796,0.839147077328095,6,"THCA"
"15",0.5,0.978,0.244923261991078,14,"UCEC"
