"","likelihood","bart","expr","rank_size","cancer"
"11",0.5,0.48,1.7895755726871,1,"LUSC"
"4",0.5,0.411,1.61722593618542,2,"COAD_READ"
"13",0.5,0.495,1.52807253678826,3,"STES"
"6",0.5,0.684,1.37776637896654,4,"KICH"
"5",0.5,0.778,1.35746450992151,5,"HNSC"
"3",0.5,0.261,1.31693679365813,6,"BRCA_2"
"2",0.5,0.682,1.25874717956313,7,"BRCA_1"
"15",0.5,0.195,1.15378908675985,8,"UCEC"
"12",0.5,0.861,1.11188938450506,9,"PRAD"
"1",0.5,0.422,1.06993291093442,10,"BLCA"
"10",0.5,0.696,1.04933601065811,11,"LUAD"
"8",0.5,0.518,0.81486661749469,12,"KIRP"
"7",0.5,0.6,0.809728638574617,13,"KIRC"
"14",0.5,0.854,0.704042490768196,14,"THCA"
"9",0.5,0.917,0.53801640208397,15,"LIHC"
