"","likelihood","bart","expr","rank_size","cancer"
"13",0.5,0.377,1.70292405523588,1,"STES"
"2",0.5,0.358,1.68120698585709,2,"BRCA_1"
"7",0.5,0.496,1.65641642128109,3,"KIRC"
"14",0.5,0.353,1.56401751184322,4,"THCA"
"11",0.5,0.322,1.45436161122398,5,"LUSC"
"3",0.5,0.489,1.44777801450225,6,"BRCA_2"
"12",0.5,0.266,1.44259206803955,7,"PRAD"
"15",0.5,0.521,1.39425198612494,8,"UCEC"
"10",0.5,0.328,1.39236023109161,9,"LUAD"
"8",0.5,0.416,1.31140490458084,10,"KIRP"
"1",0.5,0.578,1.21618050416345,11,"BLCA"
"4",0.5,0.491,1.11029346139836,12,"COAD_READ"
"6",0.5,0.518,1.04706696657821,13,"KICH"
"5",0.5,0.422,0.699265005282651,14,"HNSC"
"9",0.5,0.431,0.683719845549985,15,"LIHC"
