"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.48,-0.525822655627539,10,"BLCA"
"2",0.5,0.848,0.178813562415975,5,"BRCA_1"
"3",0.5,0.53,0.316637699513722,2,"BRCA_2"
"4",0.5,0.841,-1.21022692057006,14,"COAD_READ"
"5",0.5,0.871,-0.848653446284971,12,"HNSC"
"6",0.5,0.229,-1.22929711281736,15,"KICH"
"7",0.5,0.832,0.274430139471479,3,"KIRC"
"8",0.5,0.653,-0.219626353255931,8,"KIRP"
"9",0.5,0.915,-1.19354660144811,13,"LIHC"
"10",0.5,0.91,-0.00064378405976635,6,"LUAD"
"11",0.5,0.371,-0.0734224886202805,7,"LUSC"
"12",0.5,0.927,0.259921376801193,4,"PRAD"
"13",0.5,0.708,-0.603789123659228,11,"STES"
"14",0.5,0.913,0.40857233222202,1,"THCA"
"15",0.5,0.446,-0.346494338661126,9,"UCEC"
