"","likelihood","bart","expr","rank_size","cancer"
"2",0.5,0.371,0.796538246170639,1,"BRCA_1"
"1",0.5,0.555,0.613579428482502,2,"BLCA"
"3",0.5,0.248,0.56860701001209,3,"BRCA_2"
"10",0.5,0.398,0.378582259764121,4,"LUAD"
"14",0.5,0.329,0.33738226717699,5,"THCA"
"11",0.5,0.339,0.201176481378454,6,"LUSC"
"6",0.5,0.275,0.186845215045142,7,"KICH"
"15",0.5,0.345,0.155492912745009,8,"UCEC"
"4",0.5,0.163,0.100591109729636,9,"COAD_READ"
"13",0.5,0.418,0.0312377687831937,10,"STES"
"7",0.5,0.555,-0.0338580833659633,11,"KIRC"
"12",0.5,0.714,-0.049062941950631,12,"PRAD"
"8",0.5,0.29,-0.308803949783709,13,"KIRP"
"5",0.5,0.68,-0.381450570720638,14,"HNSC"
"9",0.5,0.565,-0.886611657047188,15,"LIHC"
