"","likelihood","bart","expr","rank_size","cancer"
"15",0.5,0.54,1.95362306373404,1,"UCEC"
"1",0.5,0.518,1.86433470099805,2,"BLCA"
"2",0.5,0.72,1.8084351318185,3,"BRCA_1"
"3",0.5,0.532,1.77946485539729,4,"BRCA_2"
"10",0.5,0.601,1.71201008179672,5,"LUAD"
"12",0.5,0.74,1.70908521745761,6,"PRAD"
"4",0.5,0.652,1.67067662097565,7,"COAD_READ"
"14",0.5,0.396,1.4404917243022,8,"THCA"
"13",0.5,0.677,1.34737576417557,9,"STES"
"8",0.5,0.499,1.25307055925379,10,"KIRP"
"11",0.5,0.756,0.995162079495344,11,"LUSC"
"9",0.5,0.701,0.919483387717006,12,"LIHC"
"7",0.5,0.492,0.91421969492913,13,"KIRC"
"6",0.5,0.262,0.611642949949312,14,"KICH"
"5",0.5,0.582,0.0308417179569891,15,"HNSC"
