"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.839,-0.220814816834095,6,"BLCA"
"2",0.5,0.493,-0.532153537428268,11,"BRCA_1"
"3",0.5,0.817,-0.395893857126841,9,"BRCA_2"
"4",0.5,0.5,-0.444315346268419,10,"COAD_READ"
"5",0.5,0.374,-0.306867109243718,7,"HNSC"
"6",0.5,0.599,-0.0194416268377489,1,"KICH"
"7",0.5,0.16,-0.391532038642221,8,"KIRC"
"8",0.5,0.286,-0.541914515728434,12,"KIRP"
"9",0.5,0.368,-0.843743599782139,15,"LIHC"
"10",0.5,0.335,-0.561963823415409,13,"LUAD"
"11",0.5,0.422,-0.148691416640853,3,"LUSC"
"12",0.5,0.362,-0.216208068507611,5,"PRAD"
"13",0.5,0.244,-0.195014678235601,4,"STES"
"14",0.5,0.22,-0.617084677988093,14,"THCA"
"15",0.5,0.74,-0.132308161040619,2,"UCEC"
